name,image,url,title
ش,https://cdn.salla.sa/vXZPEy/412e7b71-f2a2-49d2-8323-a1dd0f938c91-500x500-Nt88kUHL5K3SUhIPNmVeTgjF5bu2QzpVmqLJJWIH.jpg,https://elburoj.com/ar/قاطع-فرعي-من-شنايدر-1-بول-20-أمبير-acti9-ic60n-a9f44120-c-curve/p543555922,"اشترِ قاطع فرعي A9F44120 من شنايدر 1 بول"
"U PVC male adapter 1 inch",https://cdn.salla.sa/vXZPEy/412e7b71-f2a2-49d2-8323-a1dd0f938c91-500x500-Nt88kUHL5K3SUhIPNmVeTgjF5bu2QzpVmqLJJWIH.jpg,https://elburoj.com/en/schneider-sub-breaker-1-line-20-amps-acti9-ic60n-a9f44120-c-curve/p543555922,"Schneider Sub Breaker - 1 Line - 20 Amps - ACTI9 iC60N A9F44120, C Curve"
ش,https://cdn.salla.sa/vXZPEy/e58b3ca7-8cfe-49e4-888c-8e4bf47e4964-500x500-Yr0Ayndg2Wogo675XYMY8JLbZZc2Hf4wTHgzbOPS.jpg,https://elburoj.com/ar/قاطع-فرعي-من-شنايدر-3-بول-20-أمبير-domae-17081-c-curve/p1917001811,"تسوق قاطع فرعي Domae 17081 من شنايدر"
"- m*2.10m1.20",https://cdn.salla.sa/vXZPEy/e58b3ca7-8cfe-49e4-888c-8e4bf47e4964-500x500-Yr0Ayndg2Wogo675XYMY8JLbZZc2Hf4wTHgzbOPS.jpg,https://elburoj.com/en/schneider-sub-breaker-3-lines-20-amps-domae-17081-c-curve/p1917001811,"Schneider Sub Breaker - 3 Lines - 20 Amps - Domae 17081, C Curve"
ش,https://cdn.salla.sa/vXZPEy/776e3781-e23b-4ecf-aec1-86eb0c8f8ebe-500x500-sfnJQYhyL5H1vXzLoTQdZKQu9ceXHpA13GvfgPjs.jpg,https://elburoj.com/ar/قاطع-فرعي-من-شنايدر-2-بول-20-أمبير-domae-17061-c-curve/p1277710172,"تسوق قاطع فرعي Domae17061 من شنايدر"
"- m*2.10m1.20",https://cdn.salla.sa/vXZPEy/776e3781-e23b-4ecf-aec1-86eb0c8f8ebe-500x500-sfnJQYhyL5H1vXzLoTQdZKQu9ceXHpA13GvfgPjs.jpg,https://elburoj.com/en/schneider-sub-breaker-2-lines-20-amps-domae-17061-c-curve/p1277710172,"Schneider Sub Breaker - 2 Lines - 20 Amps - Domae 17061, C Curve"
ش,https://cdn.salla.sa/vXZPEy/aa95da9b-7dad-4306-819c-5224866bd105-500x500-Dw4BZXBaNxJzyZjC5HbJhPlQgHEumGtqaotG3BqU.jpg,https://elburoj.com/ar/قاطع-فرعي-من-شنايدر-2-بول-25-أمبير-acti9-ic60n-a9f44225-c-curve/p435514973,"تسوق قاطع فرعي A9F44225 من شنايدر"
"- m*2.10m1.20",https://cdn.salla.sa/vXZPEy/aa95da9b-7dad-4306-819c-5224866bd105-500x500-Dw4BZXBaNxJzyZjC5HbJhPlQgHEumGtqaotG3BqU.jpg,https://elburoj.com/en/schneider-sub-breaker-2-lines-25-amps-acti9-ic60n-a9f44225-c-curve/p435514973,"Schneider Sub Breaker - 2 Lines - 25 Amps - ACTI9 iC60N A9F44225, C Curve"
ش,https://cdn.salla.sa/vXZPEy/84003c7a-820c-46b7-8066-fe885305161f-500x500-Xllt8s0ZpqDei72xu6AbeO0TMMDxUJxrrK0mCCiT.jpg,https://elburoj.com/ar/قاطع-فرعي-من-شنايدر-1-بول-10-أمبير-domae-17045-c-curve/p1809026398,"تسوق قاطع فرعي Domae 17045 من شنايدر"
"U PVC male adapter 1 inch",https://cdn.salla.sa/vXZPEy/84003c7a-820c-46b7-8066-fe885305161f-500x500-Xllt8s0ZpqDei72xu6AbeO0TMMDxUJxrrK0mCCiT.jpg,https://elburoj.com/en/schneider-sub-breaker-1-line-10-amps-domae-17045-c-curve/p1809026398,"Schneider Sub Breaker - 1 Line - 10 Amps - Domae 17045, C Curve"
